,area,buildtime,room_num,hall_num,floor,dire,exemption of business tax,exemption of double tax,quality education,distance,loc
0,87.81,2008,2.0,2.0,1.0,1.0,1.0,0.0,1.0,5000,1.0
1,137.0,2001,3.0,2.0,3.0,2.0,0.0,1.0,1.0,680,2.0
2,69.0,2005,2.0,2.0,2.0,2.0,0.0,1.0,1.0,5000,3.0
3,64.06,1986,2.0,1.0,2.0,1.0,0.0,1.0,0.0,495,4.0
4,58.62,1997,2.0,1.0,3.0,1.0,0.0,0.0,1.0,776,5.0
5,77.24,1994,2.0,1.0,2.0,1.0,0.0,1.0,0.0,210,6.0
6,64.0,2013,2.0,2.0,3.0,1.0,1.0,0.0,1.0,5000,3.0
7,150.5,2003,3.0,2.0,2.0,2.0,0.0,1.0,1.0,381,6.0
8,67.0,2016,2.0,2.0,2.0,1.0,1.0,0.0,0.0,5000,7.0
9,233.01,2000,5.0,1.0,3.0,2.0,0.0,1.0,1.0,357,6.0
10,68.03,1991,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1062,8.0
11,63.0,2017,2.0,2.0,2.0,1.0,1.0,0.0,0.0,5000,3.0
12,73.98,1990,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1062,8.0
13,70.0,2013,2.0,2.0,3.0,2.0,0.0,1.0,0.0,5000,3.0
14,72.0,2016,2.0,2.0,2.0,2.0,1.0,0.0,1.0,5000,3.0
15,61.64,1997,2.0,1.0,2.0,1.0,0.0,0.0,1.0,776,5.0
16,33.59,1974,1.0,1.0,2.0,1.0,0.0,1.0,0.0,346,6.0
17,65.0,2016,2.0,2.0,3.0,2.0,0.0,1.0,1.0,5000,3.0
18,89.0,2016,3.0,2.0,2.0,2.0,1.0,0.0,1.0,5000,3.0
19,72.0,2015,2.0,2.0,2.0,2.0,1.0,0.0,1.0,5000,3.0
20,85.0,2015,2.0,1.0,3.0,1.0,0.0,0.0,0.0,5000,9.0
21,62.0,2015,2.0,2.0,2.0,1.0,1.0,0.0,1.0,5000,3.0
22,70.0,2007,2.0,2.0,2.0,2.0,0.0,1.0,1.0,5000,3.0
23,90.0,2015,3.0,2.0,2.0,1.0,0.0,1.0,0.0,5000,10.0
24,65.3,2017,2.0,2.0,1.0,2.0,0.0,0.0,0.0,5000,7.0
25,76.0,2015,2.0,2.0,2.0,2.0,1.0,0.0,0.0,5000,7.0
26,78.3,2005,1.0,1.0,2.0,1.0,0.0,1.0,0.0,721,6.0
27,68.03,1991,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1062,8.0
28,70.0,2015,2.0,2.0,2.0,2.0,1.0,0.0,1.0,5000,3.0
29,37.8,1987,1.0,1.0,3.0,1.0,0.0,1.0,1.0,640,11.0
30,105.0,2012,3.0,2.0,2.0,1.0,0.0,1.0,1.0,956,12.0
31,280.0,2006,4.0,2.0,2.0,1.0,1.0,0.0,1.0,439,13.0
32,80.4,2012,2.0,2.0,2.0,2.0,0.0,1.0,1.0,643,12.0
33,135.26,2011,4.0,3.0,3.0,2.0,0.0,1.0,0.0,341,14.0
34,89.3,2012,2.0,2.0,3.0,1.0,1.0,0.0,0.0,336,15.0
35,82.59,2012,2.0,1.0,2.0,1.0,0.0,1.0,0.0,66,16.0
36,162.4,2008,4.0,2.0,3.0,2.0,0.0,1.0,0.0,474,17.0
37,85.5,2017,2.0,2.0,1.0,1.0,1.0,0.0,1.0,643,12.0
