name,loc,size,area,price,price_sum,dire,floor,buildtime,advantage
新高苑,高行-新高苑高宝路229弄、高宝路379弄、高宝路,2室2厅,87.81,41567,365,南向,低层（共11层）,2008年建,满二优质教育
光鸿苑,南码头-东三里桥路245弄1-18号、临沂路8弄1-,3室2厅,137,51095,700,南北向,高层（共31层）,2001年建,"满五优质教育性价比高业主急售
                                        距6号线临沂新村站约680米"
金都安亭家园,昆山-曹新路88号,2室2厅,69,10870,75,南北向,中层（共11层）,2005年建,满五优质教育配套成熟小区中心
太浜巷小区,光新-岚皋路200弄、岚皋路166弄、中山北路赵家,2室1厅,64.06,60100,385,南向,中层（共6层）,1986年建,"满五配套成熟户型佳
                                        距3号线镇坪路站约495米"
佳兆业8号,南桥-佳兆业8号钜庭路99弄,3室2厅,120,25000,300,南向,中层（共5层）,2019年建,满五
春申五村,春申-都市路4499弄,2室1厅,58.62,52883,310,南向,高层（共6层）,1997年建,"优质教育总价低业主急售
                                        距5号线春申路站约776米"
蓝高小区,塘桥-蓝高小区蓝村路60弄、蓝村路30弄,2室1厅,77.24,71207,550,南向,中层（共18层）,1994年建,"满五
                                        距4号线蓝村路站约210米"
新安花园,昆山-新安花园花桥镇曹安路312国道旁,2室2厅,64,11719,75,南向,高层（共11层）,2013年建,满二优质教育
贵龙园,塘桥-贵龙园东方路1669弄、东方路1663弄,3室2厅,150.5,63123,950,南北向,中层（共17层）,2003年建,"满五优质教育
                                        距6号线上海儿童医学中心站约381米"
中天熙景诚品,嘉兴-中天熙景诚品平湖市新仓镇建新路1号,2室2厅,67,8209,55,南向,中层（共15层）,2016年建,满二
金龙东苑,塘桥-金龙东苑浦建路365弄,5室1厅,233.01,56650,1320,南北向,高层（共7层）,2000年建,"满五优质教育
                                        距4号线蓝村路站约357米"
长虹坊,康健-长虹坊桂林西街11弄,2室1厅,68.03,68793,468,南向,低层（共6层）,1991年建,"满五优质教育配套成熟性价比高
                                        距12号线虹漕路站约1062米"
滨江裕花园,昆山-昆山市花桥镇集善路与金峰路,2室2厅,63,13492,85,南向,中层（共20层）,2017年建,满二配套成熟小区中心
长虹坊,康健-长虹坊桂林西街11弄,2室2厅,73.98,61503,455,南向,中层（共4层）,1990年建,"满五优质教育配套成熟性价比高
                                        距12号线虹漕路站约1062米"
余项园,昆山-兴浦街与淞南东路交叉口往东240米(近许思泾,2室2厅,70,7086,49.6,南北向,高层（共18层）,2013年建,满五首付低总价低
鑫苑世家,昆山-西环路东侧、金中路北(绿地大道以南),2室2厅,72,15833,114,南北向,中层（共11层）,2016年建,满二优质教育配套成熟小区中心
春申五村,春申-都市路4499弄,2室1厅,61.64,49156,303,南向,中层（共6层）,1997年建,"优质教育总价低性价比高
                                        距5号线春申路站约776米"
塘桥小区,塘桥-塘桥小区南泉路1300弄1-32号、塘桥路5,1室1厅,33.59,54480,183,南向,中层（共5层）,1974年建,"满五
                                        距4号线塘桥站约346米"
万科MixTown,昆山-集善路与滨江路交叉口,2室2厅,65,14769,96,南北向,高层（共25层）,2016年建,满五优质教育
千灯裕花园,昆山-沿沪产业带文笔路炎东路路口,3室2厅,89,8764,78,南北向,中层（共18层）,2016年建,满二优质教育配套成熟送车位
同城光明捷座,"昆山-昆山市花桥溪桥路西侧,光明路南侧(11号地铁",2室2厅,72,15278,110,南北向,中层（共20层）,2015年建,满二优质教育
央玺,顾村-联谊路619弄,2室1厅,85,62000,527,南向,高层（共1层）,2015年建,无
同城光明馨座,"昆山-溪桥路以西,商祥路以南",2室2厅,62,16290,101,南向,中层（共18层）,2015年建,满二优质教育
白云佳苑,昆山-花溪路近312国道,2室2厅,70,12857,90,南北向,中层（共8层）,2007年建,满五优质教育
佳兆业8号,南桥-佳兆业8号钜庭路99弄,3室2厅,90,22222,200,南向,中层（共3层）,2015年建,满五
金科旭辉公元城市,嘉兴-金科旭辉公元城市嘉善县惠民街道晋吉路6号,2室2厅,65.3,8423,55,南北向,低层（共12层）,2017年建,无
嘉善北大金城,嘉兴-嘉善体育北路533号,2室2厅,76,8289,63,南北向,中层（共18层）,2015年建,满二配套成熟小区中心
东方城市花园二期,塘桥-东方路1881弄,1室1厅,78.3,74074,580,南向,中层（共15层）,2005年建,"满五配套成熟首付低
                                        距6号线上海儿童医学中心站约721米"
长虹坊,康健-长虹坊桂林西街11弄,2室1厅,68.03,64824,441,南向,中层（共6层）,1991年建,"满五优质教育配套成熟性价比高
                                        距12号线虹漕路站约1062米"
凯德都会新峰,昆山-兆丰路11号,2室2厅,70,14257,99.8,南北向,中层（共18层）,2015年建,满二优质教育配套成熟小区中心
双东小区,曲阳-赤峰路404弄、东体育会路671-699号,1室1厅,37.8,91270,345,南向,高层（共6层）,1987年建,"满五优质教育性价比高业主急售
                                        距3号线赤峰路站约640米"
万业紫辰苑,杨行-江杨北路1568弄,3室2厅,105,38095,400,南向,中层（共18层）,2012年建,"满五优质教育
                                        距3号线江杨北路站约956米"
翠湖天地御苑,新天地-翠湖天地御苑顺昌路168弄,4室2厅,280,171429,4800,南向,中层（共30层）,2006年建,"满二优质教育
                                        距10号线新天地站约439米"
远洋香奈,杨行-杨泰路2158弄,2室2厅,80.4,41045,330,南北向,中层（共18层）,2012年建,"满五优质教育
                                        距1号线富锦路站约643米"
建邦16区一期,临平路-天宝路466弄,4室3厅,135.26,77628,1050,南北向,高层（共22层）,2011年建,"满五配套成熟送车位
                                        距10号线邮电新村站约341米"
西康路989,长寿路-西康路989弄,2室2厅,89.3,108623,970,南向,高层（共34层）,2012年建,"满二
                                        距7号线长寿路站约336米"
新城悠活城,嘉定城区-新城悠活城柳梁路118弄、红石路333弄,2室1厅,82.59,32692,270,南向,中层（共18层）,2012年建,"满五配套成熟小区中心
                                        距11号线嘉定西站约66米"
天山河畔花园,天山-水城路883弄,4室2厅,162.4,67734,1100,南北向,高层（共27层）,2008年建,"满五配套成熟性价比高
                                        距2号线威宁路站约474米"
远洋香奈,杨行-杨泰路2158弄,2室2厅,85.5,35088,300,南向,低层（共18层）,2017年建,"满二优质教育
                                        距1号线富锦路站约643米"
香逸湾,杨行-莲花山路517弄、竹韵路58弄、竹韵路128,3室2厅,118.3,41843,495,南北向,高层（共16层）,2008年建,满五
现代华庭二期,重固-赵重公路2588弄,3室2厅,129,21318,275,南北向,低层（共6层）,2006年建,满五配套成熟拎包入住
新城忆华里,青浦城区-漕穗北路115弄、盈浩路58弄,2室2厅,87,36552,318,南北向,低层（共27层）,2012年建,满五
徐泾北城瑞和锦庭,华新-凤马塘路200弄、凤马塘路205弄,2室2厅,82,31098,255,南北向,高层（共11层）,2012年建,满五性价比高业主急售
兰溪园,曹杨-兰溪路21弄、中山北路3223弄,3室1厅,64,54688,350,南向,低层（共6层）,1985年建,"满五
                                        距3号线曹杨路站约462米"
新凯家园二期,泗泾-新家园路128弄,1室1厅,48.02,33319,160,南向,中层（共6层）,2009年建,"满五优质教育配套成熟总价低
                                        距9号线佘山站约1085米"
万科琥珀臻园,罗店-抚远路538弄,4室3厅,192,36458,700,南北向,中层（共5层）,2011年建,满五优质教育
徐泾北城瑞和锦庭,华新-凤马塘路200弄、凤马塘路205弄,2室2厅,78,30128,235,南北向,低层（共11层）,2012年建,满二性价比高业主急售
美罗家园润苑,罗店-年吉路650弄,2室1厅,81.2,26478,215,南北向,中层（共18层）,2014年建,"满二
                                        距7号线美兰湖站约1190米"
邮电小区,金桥-邮电小区张杨北路512弄,1室1厅,53.7,42458,228,南北向,低层（共6层）,1996年建,"满五优质教育性价比高业主急售
                                        距6号线博兴路站约248米"
美罗家园润苑,罗店-年吉路650弄,3室2厅,99,28081,278,南北向,高层（共18层）,2015年建,"配套成熟小区中心
                                        距7号线美兰湖站约1190米"
东源大厦,塘桥-浦建路47号浦东南路,2室2厅,105,54286,570,南向,中层（共28层）,1996年建,"满五配套成熟总价低
                                        距4号线塘桥站约144米"
中粮海景壹号,陆家嘴-银城中路600弄,4室3厅,393.36,249136,9800,东向,中层（共39层）,2010年建,"满二配套成熟户型佳
                                        距2号线陆家嘴站约694米"
杨泰二村,杨行-杨泰二村杨鑫路200弄,3室2厅,68.6,40816,280,南向,低层（共6层）,1999年建,满五优质教育
春江美庐,杨行-松兰路198弄,1室1厅,54.3,37753,205,南向,低层（共17层）,2011年建,满五优质教育
世和园,中原-世界路43弄,2室2厅,78.5,69809,548,南北向,高层（共11层）,2003年建,"满五配套成熟黄金楼层
                                        距8号线嫩江路站约919米"
淞虹苑,北新泾-淞虹路650弄1-112号,3室1厅,123.7,56184,695,南向,低层（共6层）,2001年建,"满五优质教育
                                        距2号线淞虹路站约661米"
同润菲诗艾伦,泗泾-古楼公路1198弄,2室2厅,76.8,33854,260,南北向,低层（共15层）,2011年建,满五
达安花园,曹家渡-达安花园长寿路999弄,3室2厅,130,70385,915,南北向,中层（共25层）,2004年建,"满五优质教育业主急售送车位
                                        距13号线武宁路站约292米"
金瀚园,金山新城-板桥西路96弄(近杭州湾大道),2室2厅,113,25664,290,南北向,低层（共18层）,2015年建,满五优质教育业主急售拎包入住
民康苑,御桥-御山路360弄,2室2厅,85,50588,430,南北向,中层（共5层）,2006年建,"满二
                                        距11号线御桥站约425米"
杨浦欣苑,黄兴公园-包头南路629弄、包头南路628弄,3室1厅,95,61053,580,南北向,高层（共17层）,2005年建,"满五优质教育
                                        距8号线黄兴公园站约975米"
中粮海景壹号,陆家嘴-银城中路600弄,4室2厅,347,210375,7300,东向,高层（共39层）,2009年建,"满二
                                        距2号线陆家嘴站约694米"
仁恒西郊花园,徐泾-徐盈路1188弄,4室2厅,177,53672,950,南向,中层（共21层）,2016年建,"满二景观房
                                        距17号线徐盈路站约551米"
美罗家园润苑,罗店-年吉路650弄,1室1厅,58.68,25222,148,南向,中层（共28层）,2015年建,"满五
                                        距7号线美兰湖站约1190米"
永康城香樟苑,浦江-永康城香樟苑盐铁塘路435弄,2室1厅,67.92,25766,175,南北向,中层（共18层）,2015年建,满二
报春二村,莘庄-报春路863弄,2室1厅,63.8,39969,255,南北向,高层（共6层）,1994年建,满五配套成熟性价比高
万科启宸,罗店-萧云路99弄,4室2厅,123,41463,510,南北向,低层（共4层）,,满五
永清新村,淞宝-永清新村,2室1厅,53.3,37523,200,南向,低层（共6层）,1995年建,满五
南华城,康桥-浦三路4677弄、浦三路4688弄,2室2厅,90.36,28774,260,南北向,高层（共6层）,1994年建,满五性价比高业主急售
宝地东花园,东外滩-宝地东花园唐山路1188弄,3室2厅,99,58485,579,南北向,高层（共18层）,2012年建,"满五
                                        距4号线大连路站约541米"
李园一村,嘉定城区-金沙路331弄、李园一村82弄,1室1厅,43.85,26910,118,南向,低层（共6层）,1989年建,满五优质教育
美罗家园佳翔苑,罗店-陆翔路3489弄,2室1厅,81.25,26462,215,南北向,低层（共18层）,2015年建,"满二
                                        距7号线美兰湖站约1197米"
华丽家族古北花园,古北-黄金城道555弄,4室2厅,239.5,83507,2000,南北向,低层（共21层）,2005年建,"满五优质教育
                                        距10号线伊犁路站约562米"
中粮海景壹号,陆家嘴-银城中路600弄,4室2厅,320.65,230251,7383,东西向,高层（共35层）,2009年建,"满二配套成熟户型佳
                                        距2号线陆家嘴站约694米"
东方帕堤欧花园小城,顾村-东方帕堤欧花园小城顾北路689弄,3室2厅,91.33,35366,323,南北向,低层（共18层）,,满二优质教育配套成熟户型佳
世茂滨江花园,陆家嘴-潍坊西路1弄、潍坊西路2弄,6室3厅,1038,144509,15000,东向,高层（共50层）,2002年建,"满二景观房复式
                                        距9号线商城路站约995米"
万科琥珀臻园,罗店-抚远路538弄,4室3厅,157,39490,620,南向,高层（共6层）,2011年建,满五优质教育
仁恒西郊花园,徐泾-徐盈路1188弄,4室2厅,188.3,52045,980,南向,中层（共18层）,2016年建,"满二景观房
                                        距17号线徐盈路站约551米"
宜浩佳园,临港新城-竹柏路100弄、竹柏路366弄、竹柏路111,1室2厅,78,27564,215,南向,低层（共4层）,2010年建,满五优质教育
