area,buildtime,room_num,hall_num,floor,dire,exemption of business tax,exemption of double tax,quality education,distance,loc,price
87.81,2008,2,2,1,1,1,0,1,5000,1,41567
137,2001,3,2,3,2,0,1,1,680,2,51095
69,2005,2,2,2,2,0,1,1,5000,3,10870
64.06,1986,2,1,2,1,0,1,0,495,4,60100
58.62,1997,2,1,3,1,0,0,1,776,5,52883
77.24,1994,2,1,2,1,0,1,0,210,6,71207
64,2013,2,2,3,1,1,0,1,5000,3,11719
150.5,2003,3,2,2,2,0,1,1,381,6,63123
67,2016,2,2,2,1,1,0,0,5000,7,8209
233.01,2000,5,1,3,2,0,1,1,357,6,56650
68.03,1991,2,1,1,1,0,1,1,1062,8,68793
63,2017,2,2,2,1,1,0,0,5000,3,13492
73.98,1990,2,2,2,1,0,1,1,1062,8,61503
70,2013,2,2,3,2,0,1,0,5000,3,7086
72,2016,2,2,2,2,1,0,1,5000,3,15833
61.64,1997,2,1,2,1,0,0,1,776,5,49156
33.59,1974,1,1,2,1,0,1,0,346,6,54480
65,2016,2,2,3,2,0,1,1,5000,3,14769
89,2016,3,2,2,2,1,0,1,5000,3,8764
72,2015,2,2,2,2,1,0,1,5000,3,15278
85,2015,2,1,3,1,0,0,0,5000,9,62000
62,2015,2,2,2,1,1,0,1,5000,3,16290
70,2007,2,2,2,2,0,1,1,5000,3,12857
90,2015,3,2,2,1,0,1,0,5000,10,22222
65.3,2017,2,2,1,2,0,0,0,5000,7,8423
76,2015,2,2,2,2,1,0,0,5000,7,8289
78.3,2005,1,1,2,1,0,1,0,721,6,74074
68.03,1991,2,1,2,1,0,1,1,1062,8,64824
70,2015,2,2,2,2,1,0,1,5000,3,14257
37.8,1987,1,1,3,1,0,1,1,640,11,91270
105,2012,3,2,2,1,0,1,1,956,12,38095
280,2006,4,2,2,1,1,0,1,439,13,171429
80.4,2012,2,2,2,2,0,1,1,643,12,41045
135.26,2011,4,3,3,2,0,1,0,341,14,77628
89.3,2012,2,2,3,1,1,0,0,336,15,108623
82.59,2012,2,1,2,1,0,1,0,66,16,32692
162.4,2008,4,2,3,2,0,1,0,474,17,67734
85.5,2017,2,2,1,1,1,0,1,643,12,35088
118.3,2008,3,2,3,2,0,1,0,5000,12,41843
129,2006,3,2,1,2,0,1,0,5000,18,21318
87,2012,2,2,1,2,0,1,0,5000,19,36552
82,2012,2,2,3,2,0,1,0,5000,20,31098
64,1985,3,1,1,1,0,1,0,462,21,54688
48.02,2009,1,1,2,1,0,1,1,1085,22,33319
192,2011,4,3,2,2,0,1,1,5000,23,36458
78,2012,2,2,1,2,1,0,0,5000,20,30128
81.2,2014,2,1,2,2,1,0,0,1190,23,26478
53.7,1996,1,1,1,2,0,1,1,248,24,42458
99,2015,3,2,3,2,0,0,0,1190,23,28081
105,1996,2,2,2,1,0,1,0,144,6,54286
393.36,2010,4,3,2,3,1,0,0,694,25,249136
68.6,1999,3,2,1,1,0,1,1,5000,12,40816
54.3,2011,1,1,1,1,0,1,1,5000,12,37753
78.5,2003,2,2,3,2,0,1,0,919,26,69809
123.7,2001,3,1,1,1,0,1,1,661,27,56184
76.8,2011,2,2,1,2,0,1,0,5000,22,33854
130,2004,3,2,2,2,0,1,1,292,28,70385
113,2015,2,2,1,2,0,1,1,5000,29,25664
85,2006,2,2,2,2,1,0,0,425,30,50588
95,2005,3,1,3,2,0,1,1,975,31,61053
347,2009,4,2,3,3,1,0,0,694,25,210375
177,2016,4,2,2,1,1,0,0,551,32,53672
58.68,2015,1,1,2,1,0,1,0,1190,23,25222
67.92,2015,2,1,2,2,1,0,0,5000,33,25766
63.8,1994,2,1,3,2,0,1,0,5000,34,39969
53.3,1995,2,1,1,1,0,1,0,5000,35,37523
90.36,1994,2,2,3,2,0,1,0,5000,36,28774
99,2012,3,2,3,2,0,1,0,541,37,58485
43.85,1989,1,1,1,1,0,1,1,5000,16,26910
81.25,2015,2,1,1,2,1,0,0,1197,23,26462
239.5,2005,4,2,1,2,0,1,1,562,38,83507
320.65,2009,4,2,3,4,1,0,0,694,25,230251
1038,2002,6,3,3,3,1,0,0,995,25,144509
157,2011,4,3,3,1,0,1,1,5000,23,39490
188.3,2016,4,2,2,1,1,0,0,551,32,52045
78,2010,1,2,1,1,0,1,1,5000,39,27564
142.4,2005,3,2,1,2,0,1,0,721,6,66011
162,2015,4,2,1,2,0,0,0,508,40,82099
70,2013,2,1,2,1,0,1,1,5000,26,44000
82.9,2006,2,2,1,2,1,0,1,597,33,41013
295.6,2016,5,2,2,2,1,0,0,715,41,81191
75,1994,3,1,2,1,1,0,1,280,42,49067
90.2,2012,2,2,2,2,0,1,0,5000,43,27716
35,1999,1,1,2,2,0,1,1,243,44,47143
88,1995,3,1,3,1,0,1,1,5000,45,31818
73.8,1996,3,1,3,1,0,1,0,387,44,55556
60,2014,1,2,1,1,0,0,0,5000,33,24167
59,2006,1,1,3,2,1,0,1,1025,33,42881
206,2013,3,2,3,1,0,1,1,562,38,105825
82.12,2011,1,2,1,5,0,1,0,438,46,70628
85,2015,2,2,1,1,1,0,1,5000,47,19765
41,1992,1,1,2,2,1,0,1,593,21,43902
69,2015,2,1,3,2,1,0,1,924,19,32754
100,2004,2,2,2,2,0,1,1,1024,48,63000
82,2013,2,2,3,1,0,1,0,5000,33,30732
66,2015,2,2,1,2,1,0,1,5000,3,13455
142.8,2008,3,2,1,2,0,1,1,362,49,66527
191,2000,3,2,2,2,1,0,1,372,13,108901
98,2007,3,2,3,2,0,1,1,682,12,34694
80.3,2007,2,2,2,2,0,1,0,5000,36,32752
80.7,2000,2,2,1,1,0,1,0,5000,16,25031
65,2008,1,2,2,1,0,1,1,440,50,92308
117,2010,4,2,3,2,0,1,0,1156,30,54701
57,1993,2,1,2,1,0,1,1,434,51,74561
105,2003,2,2,3,2,0,1,1,381,6,73333
80,2015,2,2,1,1,0,1,0,1190,23,25625
74,2013,1,2,2,1,0,0,1,862,4,80405
55,1997,1,1,1,1,0,1,1,419,24,40909
42.21,1992,1,1,1,1,0,1,1,434,51,97133
339.98,2005,3,2,1,6,0,1,0,977,25,132331
77.4,2014,2,2,2,2,0,1,1,264,52,51034
90.52,2002,3,2,3,2,1,0,1,1158,53,72912
90,2000,2,2,2,1,0,1,1,5000,10,21111
85,1995,3,1,2,2,1,0,1,595,52,32706
101,1999,2,2,2,1,0,1,1,5000,54,68317
60,2004,1,1,1,1,0,1,1,5000,54,81667
56.4,1983,2,1,1,2,0,1,1,236,44,43972
139.38,2016,3,2,3,2,1,0,0,5000,37,104032
110,2016,2,2,3,1,0,1,1,770,55,109091
77,2016,2,1,2,2,0,0,0,1190,23,25974
321.8,2006,5,2,3,2,0,1,1,562,38,87011
379,2016,5,3,2,2,0,0,1,770,55,102586
41,1995,1,1,2,1,0,1,0,374,56,76829
80.3,2006,2,2,3,2,0,1,0,5000,57,29265
38.01,1991,1,0,1,6,0,0,0,621,4,51302
77.6,2017,2,1,2,1,1,0,0,5000,58,18041
43,1992,1,1,1,1,0,1,1,434,51,95349
105,2012,2,2,3,1,1,0,1,666,49,89048
74.25,2005,2,2,2,2,0,1,0,793,59,37710
70,2013,2,1,1,2,0,1,0,5000,32,27143
32.4,1984,1,0,2,1,0,1,1,5000,16,31790
95.91,1996,2,1,3,2,0,1,1,5000,30,35450
56.4,2015,1,1,3,1,0,1,0,5000,33,26596
115.1,2010,3,2,2,2,0,1,0,5000,45,35447
88.7,2012,2,2,2,2,0,1,1,512,60,34949
88,2015,2,2,2,2,0,1,0,5000,61,31818
81.55,2015,3,1,3,2,1,0,0,5000,33,26364
88.82,2010,3,2,2,1,1,0,0,5000,9,49538
78.32,2013,2,2,3,1,1,0,0,5000,33,25536
105.27,2000,2,2,2,2,0,1,1,326,6,75995
340,2012,4,2,3,2,1,0,0,694,25,205882
146.5,2007,4,2,2,2,1,0,1,763,54,50512
106.6,1998,2,2,2,2,0,1,0,279,56,66323
95.63,2006,2,2,1,2,0,1,1,5000,59,35345
68.3,1995,2,1,1,1,0,1,1,421,62,40996
151.3,2006,2,2,3,2,0,1,1,439,13,148711
141.7,2016,3,2,2,2,0,1,0,5000,63,88215
74,2006,2,2,3,2,0,1,0,1067,59,38649
80.7,1997,2,2,1,2,0,1,0,5000,16,25774
81.58,2014,3,1,3,1,0,1,0,5000,33,25987
168,2004,4,2,3,2,0,1,1,5000,41,84524
78.2,1996,2,1,1,1,0,1,0,5000,10,20716
75,2014,2,2,2,1,0,1,0,5000,3,9733
89.1,2015,2,2,2,2,1,0,0,5000,64,16274
81.5,2012,2,2,1,2,0,1,1,5000,12,36810
58,2015,1,1,1,1,0,0,0,1190,23,24483
62,2013,1,1,3,1,0,1,0,5000,65,42742
93,2006,2,2,3,1,0,1,1,1000,33,43548
84,2014,2,2,2,2,0,1,0,5000,32,29167
103,2005,2,2,2,1,1,0,1,227,30,57282
89,2013,2,2,3,2,0,1,0,5000,36,51124
77.9,2010,2,2,3,2,0,1,1,552,22,30552
125.24,2007,3,2,2,2,1,0,1,989,33,42319
117,2007,3,2,2,2,0,1,1,5000,66,23504
69.23,1987,2,1,1,2,0,1,0,426,26,46945
88.7,2009,3,2,2,1,0,1,0,5000,12,41714
72.16,1996,2,1,3,1,0,0,0,5000,67,48503
42.21,1992,1,1,1,1,0,1,1,434,51,97133
296.39,2015,3,2,3,2,0,1,0,337,13,148453
81.9,2008,2,2,1,1,0,1,1,5000,19,21368
74.25,2005,2,2,2,2,0,1,0,793,59,37710
79,2015,2,2,1,1,0,1,0,1190,23,25949
69.23,1987,2,1,3,2,0,1,0,426,26,46945
154,2006,3,2,1,1,1,0,1,439,13,162338
93.9,2007,2,2,2,2,0,1,1,5000,54,76677
32.4,1984,1,0,2,1,0,1,1,5000,16,31790
80,2014,2,1,2,2,1,0,0,1197,23,26000
